name,emotion,emotionDim,transcription
SPEAKER_00-147580.wav,"[{""score"":0.554206907749176;""label"":""sad""};{""score"":0.3772534430027008;""label"":""hap""};{""score"":0.06852327287197113;""label"":""neu""};{""score"":1.642540519242175e-05;""label"":""ang""}]",arousal: 0.35766798 valence: 0.3171322," So, we'll just see. Straight out. Yeah, annoying. And the thing that came up recently, I had kind of a knee problem a couple of years ago. My right knee, now it's my left knee. It's just a pain in the ass. I went to the doctor and they threw a pump"
SPEAKER_00-127938.wav,"[{""score"":0.6612541079521179;""label"":""sad""};{""score"":0.2289123237133026;""label"":""neu""};{""score"":0.10982996225357056;""label"":""hap""};{""score"":3.6390517834661296e-06;""label"":""ang""}]",arousal: 0.31723258 valence: 0.2760162," and then they operate on it once and they operate on it twice and then it seems to be doing pretty well and at the moment I'm a little not so sure. So who knows. But it'll never be more than about 70 or 80 percent which is fine, 80 percent is fantastic."
SPEAKER_00-216852.wav,"[{""score"":0.8462154269218445;""label"":""hap""};{""score"":0.0862492099404335;""label"":""neu""};{""score"":0.06751969456672668;""label"":""sad""};{""score"":1.562669604027178e-05;""label"":""ang""}]",arousal: 0.24243549 valence: 0.28720835," They learned a lot of German. Before I forget, I saw George Shalinas a couple days ago."
SPEAKER_01-76030.wav,"[{""score"":0.9794766306877136;""label"":""sad""};{""score"":0.015897655859589577;""label"":""neu""};{""score"":0.0042490847408771515;""label"":""hap""};{""score"":0.00037661680835299194;""label"":""ang""}]",arousal: 0.4251403 valence: 0.40724882," I mean, he didn't know he was"
SPEAKER_00-192721.wav,"[{""score"":0.6656202077865601;""label"":""sad""};{""score"":0.31558719277381897;""label"":""neu""};{""score"":0.018113436177372932;""label"":""hap""};{""score"":0.0006791572086513042;""label"":""ang""}]",arousal: 0.46934175 valence: 0.37604433, He came overnight practically.
SPEAKER_01-116783.wav,"[{""score"":0.5943107008934021;""label"":""sad""};{""score"":0.36861950159072876;""label"":""hap""};{""score"":0.03704371303319931;""label"":""neu""};{""score"":2.6120271286345087e-05;""label"":""ang""}]",arousal: 0.3467535 valence: 0.2386062," Oh yeah, yeah, sure."
SPEAKER_00-248290.wav,"[{""score"":0.7414500117301941;""label"":""sad""};{""score"":0.1621701419353485;""label"":""neu""};{""score"":0.09637641906738281;""label"":""hap""};{""score"":3.401460617169505e-06;""label"":""ang""}]",arousal: 0.6231255 valence: 0.69171774, This is number two.
SPEAKER_00-48052.wav,"[{""score"":0.5202004313468933;""label"":""neu""};{""score"":0.4755377471446991;""label"":""sad""};{""score"":0.004260288551449776;""label"":""hap""};{""score"":1.509298840574047e-06;""label"":""ang""}]",arousal: 0.52649826 valence: 0.30963603, anything anybody could do so and then an ad
SPEAKER_01-498.wav,"[{""score"":0.5334322452545166;""label"":""neu""};{""score"":0.3480357527732849;""label"":""sad""};{""score"":0.11695960909128189;""label"":""hap""};{""score"":0.0015724549302831292;""label"":""ang""}]",arousal: 0.1104097 valence: 0.24382237, coming over to the states at all this summer.
SPEAKER_00-226319.wav,"[{""score"":0.6448277235031128;""label"":""neu""};{""score"":0.25361618399620056;""label"":""sad""};{""score"":0.10151157528162003;""label"":""hap""};{""score"":4.450780761544593e-05;""label"":""ang""}]",arousal: 0.22432853 valence: 0.25916585," Well, he's working for an American firm over here and he's doing very, very well. And his wife just had their fourth child."
SPEAKER_01-61923.wav,"[{""score"":0.7825610637664795;""label"":""sad""};{""score"":0.13187409937381744;""label"":""hap""};{""score"":0.08534455299377441;""label"":""neu""};{""score"":0.00022028489911463112;""label"":""ang""}]",arousal: 0.081494175 valence: 0.21385728," Yeah, I think there was some concern about her when I talked to you in September or October."
SPEAKER_00-279695.wav,"[{""score"":0.8565012216567993;""label"":""hap""};{""score"":0.14345529675483704;""label"":""neu""};{""score"":4.0189748688135296e-05;""label"":""ang""};{""score"":3.222112127332366e-06;""label"":""sad""}]",arousal: 0.24066535 valence: 0.30297884, Columbia Columbia
SPEAKER_01-85430.wav,"[{""score"":0.7893620133399963;""label"":""hap""};{""score"":0.19435511529445648;""label"":""sad""};{""score"":0.016222216188907623;""label"":""neu""};{""score"":6.063542241463438e-05;""label"":""ang""}]",arousal: 0.038912248 valence: 0.17079431," weird stuff. Yeah, how about you? How are your eyes?"
SPEAKER_01-46988.wav,"[{""score"":0.9732591509819031;""label"":""sad""};{""score"":0.02661830559372902;""label"":""neu""};{""score"":0.0001222786377184093;""label"":""hap""};{""score"":2.9317357075342443e-07;""label"":""ang""}]",arousal: 0.46965557 valence: 0.3730448, I'm gonna put you on the phone.
SPEAKER_01-13593.wav,"[{""score"":0.501754105091095;""label"":""neu""};{""score"":0.3616573214530945;""label"":""hap""};{""score"":0.1365843117237091;""label"":""sad""};{""score"":4.281768724467838e-06;""label"":""ang""}]",arousal: 0.16151623 valence: 0.28876856, I remember when I talked to you in the fall that did your sister
SPEAKER_00-233305.wav,"[{""score"":0.46738338470458984;""label"":""sad""};{""score"":0.40238872170448303;""label"":""neu""};{""score"":0.1122613176703453;""label"":""hap""};{""score"":0.01796652004122734;""label"":""ang""}]",arousal: 0.3828162 valence: 0.26957452, A little boy. Benjamin. Yeah.
SPEAKER_00-34113.wav,"[{""score"":0.45451802015304565;""label"":""hap""};{""score"":0.3043571412563324;""label"":""neu""};{""score"":0.24112308025360107;""label"":""sad""};{""score"":1.8238616803500918e-06;""label"":""ang""}]",arousal: 0.46968314 valence: 0.41549325," No, I don't know what it is. It's just people get sick and they get sick pretty young. My sister wasn't that old and she just..."
SPEAKER_00-168421.wav,"[{""score"":0.7335730791091919;""label"":""neu""};{""score"":0.14099328219890594;""label"":""hap""};{""score"":0.12541712820529938;""label"":""sad""};{""score"":1.640136724745389e-05;""label"":""ang""}]",arousal: 0.5260439 valence: 0.47152817," Anyway, they take fluid out of it and get irritated."
SPEAKER_01-25338.wav,"[{""score"":0.585757315158844;""label"":""hap""};{""score"":0.31367984414100647;""label"":""neu""};{""score"":0.10050424933433533;""label"":""sad""};{""score"":5.857751239091158e-05;""label"":""ang""}]",arousal: 0.08248377 valence: 0.25325796, When was it? I made them right after my father died right after we talked.
SPEAKER_00-97175.wav,"[{""score"":0.869550883769989;""label"":""neu""};{""score"":0.07685580104589462;""label"":""hap""};{""score"":0.05358671396970749;""label"":""sad""};{""score"":6.671525625279173e-06;""label"":""ang""}]",arousal: 0.4390375 valence: 0.32140225, I'm not exactly convinced that it's okay. I'm not sure. It's been pretty good. It was about 80%.
SPEAKER_00-9880.wav,"[{""score"":0.7510332465171814;""label"":""hap""};{""score"":0.24713197350502014;""label"":""neu""};{""score"":0.0018338884692639112;""label"":""sad""};{""score"":9.094358688344073e-07;""label"":""ang""}]",arousal: 0.36777177 valence: 0.31981614," Well, the relative scene is kind of sad, you know, everybody's kind of passed away."
SPEAKER_00-260017.wav,"[{""score"":0.8846324682235718;""label"":""hap""};{""score"":0.09851748496294022;""label"":""neu""};{""score"":0.013150712475180626;""label"":""ang""};{""score"":0.0036993168760091066;""label"":""sad""}]",arousal: 0.23928982 valence: 0.28202447," Not in a while, no."
SPEAKER_00-58109.wav,"[{""score"":0.7091473937034607;""label"":""neu""};{""score"":0.25460270047187805;""label"":""sad""};{""score"":0.036189060658216476;""label"":""hap""};{""score"":6.0754773585358635e-05;""label"":""ang""}]",arousal: 0.19653495 valence: 0.25622857," No, that had not happened though. She passed away in March or..."
SPEAKER_01-7096.wav,"[{""score"":0.6597887277603149;""label"":""hap""};{""score"":0.3055603504180908;""label"":""neu""};{""score"":0.0340191088616848;""label"":""sad""};{""score"":0.0006318447412922978;""label"":""ang""}]",arousal: 0.14302185 valence: 0.267797, not not relative left here anymore.
SPEAKER_00-188857.wav,"[{""score"":0.7432057857513428;""label"":""sad""};{""score"":0.24474836885929108;""label"":""hap""};{""score"":0.011873890645802021;""label"":""neu""};{""score"":0.00017204377218149602;""label"":""ang""}]",arousal: 0.29277003 valence: 0.27299163," Yeah, maybe. I mean, they don't know."
