name,start,end,speaker,text,amplitude,val,act,dom,disc_emo,emo_class,substantivos,topic,loud_voice
audio10.wav,28.054,29.235,SPEAKER_01,"Well, what's the problem?",0.39041314,-0.53,0.18,0.16,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '79.4%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '20.0%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",disgust,['problem'],problem,True
audio11.wav,29.235,30.075,SPEAKER_00,This form is a ZX4.,0.22888148,0.4,0.37,0.31,"[{'Emotion': 'anger', 'Score': '39.0%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '60.5%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['form', 'zx4']",zx4,False
audio12.wav,30.075,31.496,SPEAKER_00,Let me change it.,0.25126156,-0.52,0.37,0.42,"[{'Emotion': 'anger', 'Score': '19.0%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '1.3%'}, {'Emotion': 'happiness', 'Score': '79.4%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,[],[],False
audio13.wav,31.496,31.877,SPEAKER_00,You can't.,0.1830192,-0.08,0.13,0.05,"[{'Emotion': 'anger', 'Score': '43.7%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '55.4%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,[],[],False
audio14.wav,33.772,35.592,SPEAKER_00, This is not the line for the ZX4.,0.2468604,-0.13,0.31,0.3,"[{'Emotion': 'anger', 'Score': '7.1%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '92.4%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,"['line', 'zx4']",zx4,False
audio15.wav,35.592,39.813,SPEAKER_00,"If you're going to fill out the ZX4, you need to have a different form of ID.",0.35191578,0.11,0.39,0.39,"[{'Emotion': 'anger', 'Score': '78.9%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '1.3%'}, {'Emotion': 'happiness', 'Score': '19.5%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,"['zx4', 'different', 'form', 'id']",different,True
audio16.wav,39.813,40.753,SPEAKER_01,I'm getting an ID.,0.15618584,0.03,0.66,0.69,"[{'Emotion': 'anger', 'Score': '98.2%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,['id'],id,False
audio17.wav,40.753,42.074,SPEAKER_01,This is why I'm here.,0.17773671,-0.43,0.53,0.44,"[{'Emotion': 'anger', 'Score': '1.3%'}, {'Emotion': 'disgust', 'Score': '1.4%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '97.1%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,[],[],False
audio18.wav,42.074,43.094,SPEAKER_00,My wallet was stolen.,0.494812,0.32,0.53,0.43,"[{'Emotion': 'anger', 'Score': '97.0%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '2.6%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,['wallet'],wallet,True
audio19.wav,43.094,46.935,SPEAKER_00,I need another set of ID to prove that this is actually you.,0.22961581,0.1,0.32,0.41,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '23.2%'}, {'Emotion': 'fear', 'Score': '0.5%'}, {'Emotion': 'happiness', 'Score': '75.7%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",happiness,"['another', 'set', 'id']",another,False
audio20.wav,46.935,49.775,SPEAKER_01,How am I supposed to get an ID without an ID?,0.2546343,-0.15,0.19,0.32,"[{'Emotion': 'anger', 'Score': '1.1%'}, {'Emotion': 'disgust', 'Score': '0.5%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '98.0%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,"['id', 'id']",id,False
audio21.wav,49.775,52.376,SPEAKER_01,How does a person get an ID in the first place?,0.2534492,-0.07,0.27,0.31,"[{'Emotion': 'anger', 'Score': '82.4%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '16.6%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,"['person', 'id', 'first', 'place']",person,False
audio22.wav,52.376,55.656,SPEAKER_00,"I don't know, but I need an ID to pass this form along.",0.18615822,-0.14,0.21,0.25,"[{'Emotion': 'anger', 'Score': '0.7%'}, {'Emotion': 'disgust', 'Score': '4.7%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '94.4%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['id', 'form']",form,False
audio23.wav,55.656,56.877,SPEAKER_00,I can't just send it along without an ID.,0.2685696,-0.34,0.6,0.56,"[{'Emotion': 'anger', 'Score': '97.8%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.8%'}, {'Emotion': 'happiness', 'Score': '1.2%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,['id'],id,False
audio24.wav,56.877,58.857,SPEAKER_01,I'm here to get an ID.,0.2975146,-0.04,0.64,0.63,"[{'Emotion': 'anger', 'Score': '56.4%'}, {'Emotion': 'disgust', 'Score': '0.8%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '42.5%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,['id'],id,True
audio25.wav,58.857,60.937,SPEAKER_00,"No, I need another ID.",0.29063886,-0.2,0.44,0.43,"[{'Emotion': 'anger', 'Score': '80.6%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '18.6%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['another', 'id']",another,False
audio26.wav,60.937,62.638,SPEAKER_00,A separate one.,0.18683678,-0.0,0.08,0.2,"[{'Emotion': 'anger', 'Score': '0.4%'}, {'Emotion': 'disgust', 'Score': '66.5%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '32.4%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,[],[],False
audio27.wav,62.638,63.138,SPEAKER_01,Like what?,0.1354109,-0.23,0.34,0.17,"[{'Emotion': 'anger', 'Score': '98.4%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '0.9%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,[],[],False
audio28.wav,64.506,65.907,SPEAKER_01, Like a birth certificate?,0.17123389,0.03,0.2,0.2,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '73.4%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '25.7%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",disgust,"['birth', 'certificate']",certificate,False
audio29.wav,65.907,67.368,SPEAKER_00,"A birth certificate, a passport.",0.4947087,0.37,0.45,0.45,"[{'Emotion': 'anger', 'Score': '5.2%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '94.3%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,"['birth', 'certificate', 'passport']",certificate,True
audio30.wav,67.368,69.329,SPEAKER_00,Who the hell has a birth certificate?,0.30875456,-0.23,0.75,0.61,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '13.4%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '86.0%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['hell', 'birth', 'certificate']",birth,True
audio31.wav,69.329,70.469,SPEAKER_00,A student ID.,0.24151447,-0.09,0.33,0.41,"[{'Emotion': 'anger', 'Score': '0.6%'}, {'Emotion': 'disgust', 'Score': '2.3%'}, {'Emotion': 'fear', 'Score': '37.4%'}, {'Emotion': 'happiness', 'Score': '59.6%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['student', 'id']",student,False
audio32.wav,70.469,72.21,SPEAKER_00,Didn't you go to school?,0.12691604,-0.01,0.41,0.4,"[{'Emotion': 'anger', 'Score': '1.7%'}, {'Emotion': 'disgust', 'Score': '1.2%'}, {'Emotion': 'fear', 'Score': '8.2%'}, {'Emotion': 'happiness', 'Score': '88.9%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,['school'],school,False
audio33.wav,72.21,72.971,SPEAKER_00,Anything?,0.15145265,-0.19,0.17,0.01,"[{'Emotion': 'anger', 'Score': '0.5%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '98.7%'}, {'Emotion': 'happiness', 'Score': '0.7%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",fear,['anything'],anything,False
audio34.wav,72.971,74.952,SPEAKER_01,"Yes, but my wallet was stolen.",0.37089047,-0.12,0.39,0.34,"[{'Emotion': 'anger', 'Score': '26.9%'}, {'Emotion': 'disgust', 'Score': '2.5%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '70.2%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",happiness,['wallet'],wallet,True
audio35.wav,74.952,76.712,SPEAKER_01,I don't have anything.,0.08846074,-0.5,0.27,0.36,"[{'Emotion': 'anger', 'Score': '4.4%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '95.1%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,['anything'],anything,False
audio36.wav,76.712,77.893,SPEAKER_01,I don't have any credit cards.,0.20306793,-0.35,0.33,0.28,"[{'Emotion': 'anger', 'Score': '1.0%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.6%'}, {'Emotion': 'happiness', 'Score': '98.1%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,"['credit', 'cards']",cards,False
audio37.wav,77.893,79.974,SPEAKER_01,I don't have my ID.,0.10593295,-0.36,0.24,0.24,"[{'Emotion': 'anger', 'Score': '20.6%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '78.8%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,['id'],id,False
audio38.wav,79.974,82.315,SPEAKER_01,Don't you have things on file here?,0.17144926,-0.4,0.58,0.52,"[{'Emotion': 'anger', 'Score': '0.8%'}, {'Emotion': 'disgust', 'Score': '2.4%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '96.6%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,"['things', 'file']",things,False
audio39.wav,82.315,85.677,SPEAKER_00,"Yeah, we keep it on file, but we need an ID to access that file.",0.22711852,-0.07,0.46,0.49,"[{'Emotion': 'anger', 'Score': '80.2%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '19.3%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,"['file', 'id', 'file']",file,False
audio40.wav,85.677,86.678,SPEAKER_00,That's out of control.,0.39809847,-0.29,0.19,0.32,"[{'Emotion': 'anger', 'Score': '98.6%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '0.8%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,['control'],control,True
audio41.wav,88.294,91.695,SPEAKER_00, I don't understand why this is so complicated for people when they get here.,0.12263311,-0.49,0.22,0.29,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '20.6%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '78.8%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",happiness,['people'],people,False
audio42.wav,91.695,92.815,SPEAKER_00,It's just a simple form.,0.258896,-0.11,0.3,0.36,"[{'Emotion': 'anger', 'Score': '0.5%'}, {'Emotion': 'disgust', 'Score': '5.4%'}, {'Emotion': 'fear', 'Score': '20.1%'}, {'Emotion': 'happiness', 'Score': '73.9%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['just', 'simple', 'form']",simple,False
audio43.wav,92.815,93.835,SPEAKER_00,I just need an ID.,0.49506363,-0.33,0.71,0.63,"[{'Emotion': 'anger', 'Score': '50.0%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '49.3%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,['id'],id,True
audio44.wav,93.835,95.196,SPEAKER_00,How long have you been working here?,0.18920688,-0.07,0.6,0.48,"[{'Emotion': 'anger', 'Score': '1.5%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '97.9%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,[],[],False
audio45.wav,95.196,98.677,SPEAKER_00,"Actually, too long.",0.036356293,-0.3,-0.17,-0.06,"[{'Emotion': 'anger', 'Score': '3.6%'}, {'Emotion': 'disgust', 'Score': '0.6%'}, {'Emotion': 'fear', 'Score': '16.8%'}, {'Emotion': 'happiness', 'Score': '78.9%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,[],[],False
audio46.wav,98.677,100.197,SPEAKER_01,Clearly.,0.08864118,0.06,0.35,0.37,"[{'Emotion': 'anger', 'Score': '1.1%'}, {'Emotion': 'disgust', 'Score': '0.5%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '98.2%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,[],[],False
audio47.wav,100.197,102.378,SPEAKER_01,"You know, do you have like a supervisor or something?",0.13000956,0.16,0.26,0.19,"[{'Emotion': 'anger', 'Score': '0.2%'}, {'Emotion': 'disgust', 'Score': '6.9%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '92.6%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",happiness,"['supervisor', 'something']",something,False
audio48.wav,102.378,103.218,SPEAKER_00,Yeah.,0.20479332,0.59,0.57,0.51,"[{'Emotion': 'anger', 'Score': '97.8%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.5%'}, {'Emotion': 'happiness', 'Score': '1.4%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,[],[],False
audio49.wav,103.218,104.258,SPEAKER_00,You want to see my supervisor?,0.42176428,0.06,0.75,0.54,"[{'Emotion': 'anger', 'Score': '16.9%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '19.7%'}, {'Emotion': 'happiness', 'Score': '63.2%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,['supervisor'],supervisor,True
audio50.wav,104.258,104.378,SPEAKER_00,Huh?,0.03840086,-0.17,-0.22,-0.32,"[{'Emotion': 'anger', 'Score': '0.0%'}, {'Emotion': 'disgust', 'Score': '94.5%'}, {'Emotion': 'fear', 'Score': '1.4%'}, {'Emotion': 'happiness', 'Score': '3.6%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,['huh'],huh,False
audio51.wav,104.378,104.878,SPEAKER_00,Yeah.,0.40841082,-0.05,0.38,0.14,"[{'Emotion': 'anger', 'Score': '14.1%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '85.4%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,[],[],True
audio52.wav,104.878,105.979,SPEAKER_00,You want to see my supervisor?,0.5801385,-0.07,0.75,0.49,"[{'Emotion': 'anger', 'Score': '96.1%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '3.5%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,['supervisor'],supervisor,True
audio53.wav,105.979,106.279,SPEAKER_00,Fine.,1.0,0.06,0.59,0.34,"[{'Emotion': 'anger', 'Score': '98.2%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,[],[],True
audio54.wav,106.279,106.919,SPEAKER_00,I'll be right back.,0.5661687,0.58,0.8,0.7,"[{'Emotion': 'anger', 'Score': '98.2%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.5%'}, {'Emotion': 'happiness', 'Score': '1.1%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,[],[],True
