name,start,end,speaker,text,amplitude,val,act,dom,disc_emo,emo_class,substantivos,topic,loud_voice
audio21.wav,178.92,180.661,SPEAKER_00,And so I just want to wish,0.5285812,0.16,0.09,0.14,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '95.3%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '4.0%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",disgust,[],[],True
audio22.wav,181.812,188.358,SPEAKER_00," sweetie, you happy anniversary, and let you know that a year from now we will not be celebrating it in front of 40 million people.",0.3316837,0.1,0.23,0.34,"[{'Emotion': 'anger', 'Score': '0.0%'}, {'Emotion': 'disgust', 'Score': '97.1%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '1.6%'}, {'Emotion': 'sadness', 'Score': '1.1%'}]",disgust,"['sweetie', 'front', '40', 'million', 'people']",sweetie,False
audio23.wav,191.08,196.024,SPEAKER_00,"Four years ago, we went through the worst financial crisis since the Great Depression.",0.5366928,-0.42,-0.06,0.12,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '84.4%'}, {'Emotion': 'fear', 'Score': '3.1%'}, {'Emotion': 'happiness', 'Score': '0.8%'}, {'Emotion': 'sadness', 'Score': '11.3%'}]",disgust,"['worst', 'financial', 'crisis', 'great', 'depression']",financial,True
audio24.wav,196.905,198.066,SPEAKER_00,Millions of jobs were lost.,0.5696651,-0.45,0.26,0.39,"[{'Emotion': 'anger', 'Score': '95.9%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '3.6%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,"['millions', 'jobs']",jobs,True
audio25.wav,198.106,200.808,SPEAKER_00,The auto industry was on the brink of collapse.,0.3762328,-0.4,0.01,0.15,"[{'Emotion': 'anger', 'Score': '0.0%'}, {'Emotion': 'disgust', 'Score': '94.5%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '0.3%'}, {'Emotion': 'sadness', 'Score': '4.8%'}]",disgust,"['auto', 'industry', 'brink', 'collapse']",auto,False
audio26.wav,201.749,203.43,SPEAKER_00,The financial system had frozen up.,0.20920624,-0.2,0.11,0.2,"[{'Emotion': 'anger', 'Score': '0.4%'}, {'Emotion': 'disgust', 'Score': '85.8%'}, {'Emotion': 'fear', 'Score': '3.2%'}, {'Emotion': 'happiness', 'Score': '10.1%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",disgust,"['financial', 'system']",financial,False
audio27.wav,204.491,210.076,SPEAKER_00,"And because of the resilience and the determination of the American people, we've begun to fight our way back.",0.5747013,-0.13,0.15,0.33,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '96.1%'}, {'Emotion': 'fear', 'Score': '0.1%'}, {'Emotion': 'happiness', 'Score': '3.3%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",disgust,"['resilience', 'determination', 'american', 'people', 'way']",people,True
audio28.wav,210.976,215.578,SPEAKER_00," Over the last 30 months, we've seen 5 million jobs in the private sector created.",0.45546266,-0.07,0.1,0.27,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '96.1%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '1.1%'}, {'Emotion': 'sadness', 'Score': '2.3%'}]",disgust,"['last', '30', 'months', '5', 'million', 'jobs', 'private', 'sector']",jobs,True
audio29.wav,216.218,221.341,SPEAKER_00,"The auto industry has come roaring back, and housing has begun to rise.",0.43738112,0.04,0.13,0.27,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '93.3%'}, {'Emotion': 'fear', 'Score': '0.5%'}, {'Emotion': 'happiness', 'Score': '5.0%'}, {'Emotion': 'sadness', 'Score': '0.8%'}]",disgust,"['auto', 'industry', 'housing']",auto,True
audio30.wav,222.281,224.982,SPEAKER_00,But we all know that we've still got a lot of work to do.,0.46601623,-0.07,0.13,0.27,"[{'Emotion': 'anger', 'Score': '0.6%'}, {'Emotion': 'disgust', 'Score': '80.6%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '18.1%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,"['lot', 'work']",work,True
audio31.wav,225.642,229.724,SPEAKER_00,"And so the question here tonight is not where we've been, but where we're going.",0.52065164,-0.24,0.1,0.2,"[{'Emotion': 'anger', 'Score': '4.0%'}, {'Emotion': 'disgust', 'Score': '57.9%'}, {'Emotion': 'fear', 'Score': '1.2%'}, {'Emotion': 'happiness', 'Score': '36.4%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",neutral,['question'],question,True
audio32.wav,231.165,236.347,SPEAKER_00,"Governor Romney has a perspective that says if we cut taxes,",0.41326356,0.0,0.06,0.18,"[{'Emotion': 'anger', 'Score': '0.0%'}, {'Emotion': 'disgust', 'Score': '97.8%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.6%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",disgust,"['governor', 'romney', 'perspective', 'taxes']",governor,False
audio33.wav,237.02,241.602,SPEAKER_00, skewed towards the wealthy and rollback regulations that we'll be better off.,0.52433735,-0.17,0.14,0.27,"[{'Emotion': 'anger', 'Score': '1.5%'}, {'Emotion': 'disgust', 'Score': '49.3%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '48.7%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",neutral,"['wealthy', 'rollback', 'regulations']",wealthy,True
audio34.wav,241.902,242.703,SPEAKER_00,I've got a different view.,0.35373366,0.3,0.32,0.38,"[{'Emotion': 'anger', 'Score': '95.8%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '3.4%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,"['different', 'view']",different,False
audio35.wav,243.243,245.244,SPEAKER_00,I think we've got to invest in education and training.,0.4916772,0.18,0.45,0.59,"[{'Emotion': 'anger', 'Score': '98.3%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '0.8%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",anger,"['education', 'training']",education,True
audio36.wav,245.984,262.292,SPEAKER_00,"I think it's important for us to develop new sources of energy here in America, that we change our tax code to make sure that we're helping small businesses and companies that are investing here in the United States, that we take some of the money that we're saving as we wind down two wars to rebuild America.",0.5089703,0.14,0.35,0.49,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '90.8%'}, {'Emotion': 'fear', 'Score': '0.6%'}, {'Emotion': 'happiness', 'Score': '7.9%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",disgust,"['us', 'new', 'sources', 'energy', 'america', 'tax', 'code', 'small', 'businesses', 'companies', 'united', 'states', 'money', 'two', 'wars', 'america']",energy,True
audio37.wav,263.143,267.926,SPEAKER_00, and that we reduce our deficit in a balanced way that allows us to make these critical investments.,0.3473599,0.18,0.16,0.35,"[{'Emotion': 'anger', 'Score': '1.0%'}, {'Emotion': 'disgust', 'Score': '67.4%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '27.4%'}, {'Emotion': 'sadness', 'Score': '4.0%'}]",disgust,"['deficit', 'balanced', 'way', 'us', 'critical', 'investments']",investments,False
audio38.wav,268.927,273.11,SPEAKER_00,"Now, ultimately, it's going to be up to the voters, to you, which path we should take.",0.5230303,0.07,0.26,0.34,"[{'Emotion': 'anger', 'Score': '31.7%'}, {'Emotion': 'disgust', 'Score': '10.4%'}, {'Emotion': 'fear', 'Score': '1.9%'}, {'Emotion': 'happiness', 'Score': '55.7%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",neutral,"['voters', 'path']",voters,True
audio39.wav,274.011,285.879,SPEAKER_00,"Are we going to double down on the top-down economic policies that helped to get us into this mess, or do we embrace a new economic patriotism that says America does best when the middle class does best?",0.45408848,0.12,0.25,0.39,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '97.7%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '1.3%'}, {'Emotion': 'sadness', 'Score': '0.8%'}]",disgust,"['top', 'economic', 'policies', 'us', 'mess', 'new', 'economic', 'patriotism', 'america', 'middle', 'class']",mess,True
audio40.wav,286.18,287.501,SPEAKER_00,And I'm looking forward to having that debate.,0.11795907,-0.04,0.32,0.38,"[{'Emotion': 'anger', 'Score': '93.1%'}, {'Emotion': 'disgust', 'Score': '0.1%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '6.3%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,['debate'],debate,False
audio41.wav,288.361,289.382,SPEAKER_00,"Governor Romney, two minutes.",0.30944875,0.07,0.33,0.38,"[{'Emotion': 'anger', 'Score': '98.3%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '0.7%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",anger,"['governor', 'romney', 'two', 'minutes']",governor,False
audio42.wav,289.735,290.335,SPEAKER_02," Thank you, Jim.",0.041747086,0.64,0.36,0.36,"[{'Emotion': 'anger', 'Score': '65.1%'}, {'Emotion': 'disgust', 'Score': '0.2%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '34.2%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,[],[],False
audio43.wav,290.595,293.636,SPEAKER_02,"It's an honor to be here with you, and I appreciate the chance to be with the President.",0.2773923,0.66,0.34,0.46,"[{'Emotion': 'anger', 'Score': '0.2%'}, {'Emotion': 'disgust', 'Score': '82.3%'}, {'Emotion': 'fear', 'Score': '1.0%'}, {'Emotion': 'happiness', 'Score': '13.5%'}, {'Emotion': 'sadness', 'Score': '3.0%'}]",disgust,"['honor', 'chance', 'president']",honor,False
audio44.wav,294.196,295.737,SPEAKER_02,I'm pleased to be at the University of Denver.,0.051866755,0.31,0.03,0.2,"[{'Emotion': 'anger', 'Score': '0.6%'}, {'Emotion': 'disgust', 'Score': '64.0%'}, {'Emotion': 'fear', 'Score': '6.0%'}, {'Emotion': 'happiness', 'Score': '14.8%'}, {'Emotion': 'sadness', 'Score': '14.5%'}]",neutral,"['university', 'denver']",university,False
audio45.wav,295.757,300.018,SPEAKER_02,"I appreciate their welcome, and also the Presidential Commission on these debates.",0.22728512,0.56,0.13,0.31,"[{'Emotion': 'anger', 'Score': '0.6%'}, {'Emotion': 'disgust', 'Score': '60.9%'}, {'Emotion': 'fear', 'Score': '32.3%'}, {'Emotion': 'happiness', 'Score': '3.7%'}, {'Emotion': 'sadness', 'Score': '2.4%'}]",neutral,"['welcome', 'also', 'presidential', 'commission', 'debates']",welcome,False
audio46.wav,300.658,303.239,SPEAKER_02,"And congratulations to you, Mr. President, on your anniversary.",0.2422025,0.76,0.29,0.47,"[{'Emotion': 'anger', 'Score': '1.7%'}, {'Emotion': 'disgust', 'Score': '3.1%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '94.7%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",happiness,"['congratulations', 'anniversary']",anniversary,False
audio47.wav,303.279,306.84,SPEAKER_02,"I'm sure this was the most romantic place you could imagine, here with me.",0.43629402,0.49,0.55,0.56,"[{'Emotion': 'anger', 'Score': '92.9%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '1.7%'}, {'Emotion': 'happiness', 'Score': '5.3%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",anger,"['romantic', 'place']",romantic,True
audio48.wav,307.1,309.841,SPEAKER_02,So I... Congratulations.,0.4434415,0.75,0.48,0.53,"[{'Emotion': 'anger', 'Score': '0.9%'}, {'Emotion': 'disgust', 'Score': '0.8%'}, {'Emotion': 'fear', 'Score': '1.1%'}, {'Emotion': 'happiness', 'Score': '97.3%'}, {'Emotion': 'sadness', 'Score': '0.0%'}]",happiness,['congratulations'],congratulations,True
audio49.wav,311.142,312.522,SPEAKER_02,This is obviously a very tender topic.,0.15917143,0.07,0.15,0.31,"[{'Emotion': 'anger', 'Score': '97.4%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.2%'}, {'Emotion': 'happiness', 'Score': '2.1%'}, {'Emotion': 'sadness', 'Score': '0.2%'}]",anger,"['tender', 'topic']",tender,False
audio50.wav,313.479,316.881,SPEAKER_02, I've had the occasion over the last couple of years of meeting people across the country.,0.18558466,0.07,-0.05,0.16,"[{'Emotion': 'anger', 'Score': '23.9%'}, {'Emotion': 'disgust', 'Score': '1.1%'}, {'Emotion': 'fear', 'Score': '0.3%'}, {'Emotion': 'happiness', 'Score': '74.4%'}, {'Emotion': 'sadness', 'Score': '0.4%'}]",happiness,"['occasion', 'last', 'couple', 'years', 'people', 'country']",occasion,False
audio51.wav,317.421,322.083,SPEAKER_02,"I was in Dayton, Ohio, and a woman grabbed my arm, and she said, I've been out of work since May.",0.19757771,0.06,0.05,0.19,"[{'Emotion': 'anger', 'Score': '8.8%'}, {'Emotion': 'disgust', 'Score': '34.9%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '50.0%'}, {'Emotion': 'sadness', 'Score': '5.6%'}]",neutral,"['dayton', 'ohio', 'woman', 'arm', 'work', 'may']",ohio,False
audio52.wav,322.604,323.264,SPEAKER_02,Can you help me?,0.04698484,0.38,-0.01,0.18,"[{'Emotion': 'anger', 'Score': '98.2%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.8%'}, {'Emotion': 'happiness', 'Score': '0.8%'}, {'Emotion': 'sadness', 'Score': '0.3%'}]",anger,[],[],False
audio53.wav,324.425,334.15,SPEAKER_02,"Ann yesterday was at a rally in Denver, and a woman came up to her with a baby in her arms and said, Ann, my husband has had four jobs in three years, part-time jobs.",0.2587101,0.07,-0.0,0.23,"[{'Emotion': 'anger', 'Score': '0.3%'}, {'Emotion': 'disgust', 'Score': '80.6%'}, {'Emotion': 'fear', 'Score': '0.6%'}, {'Emotion': 'happiness', 'Score': '2.8%'}, {'Emotion': 'sadness', 'Score': '15.8%'}]",disgust,"['ann', 'rally', 'denver', 'woman', 'baby', 'arms', 'husband', 'four', 'jobs', 'three', 'years', 'part', 'time', 'jobs']",ann,False
audio54.wav,334.67,338.332,SPEAKER_02,"He's lost his most recent job, and we've now just lost our home.",0.16812772,-0.42,-0.09,0.15,"[{'Emotion': 'anger', 'Score': '0.2%'}, {'Emotion': 'disgust', 'Score': '54.0%'}, {'Emotion': 'fear', 'Score': '1.3%'}, {'Emotion': 'happiness', 'Score': '0.5%'}, {'Emotion': 'sadness', 'Score': '43.9%'}]",neutral,"['recent', 'job', 'home']",recent,False
audio55.wav,338.912,339.633,SPEAKER_02,Can you help us?,0.14884885,0.36,0.03,0.23,"[{'Emotion': 'anger', 'Score': '6.2%'}, {'Emotion': 'disgust', 'Score': '0.3%'}, {'Emotion': 'fear', 'Score': '38.4%'}, {'Emotion': 'happiness', 'Score': '55.0%'}, {'Emotion': 'sadness', 'Score': '0.1%'}]",neutral,['us'],us,False
audio56.wav,340.413,342.494,SPEAKER_02,"And the answer is yes, we can help.",0.28369707,0.28,0.12,0.32,"[{'Emotion': 'anger', 'Score': '3.0%'}, {'Emotion': 'disgust', 'Score': '48.5%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '43.7%'}, {'Emotion': 'sadness', 'Score': '4.1%'}]",neutral,['answer'],answer,False
audio57.wav,343.154,351.544,SPEAKER_02," but it's going to take a different path, not the one we've been on, not the one the president describes as a top-down cut taxes for the rich.",0.25382715,-0.01,0.13,0.29,"[{'Emotion': 'anger', 'Score': '0.1%'}, {'Emotion': 'disgust', 'Score': '96.8%'}, {'Emotion': 'fear', 'Score': '0.4%'}, {'Emotion': 'happiness', 'Score': '2.3%'}, {'Emotion': 'sadness', 'Score': '0.5%'}]",disgust,"['different', 'path', 'one', 'one', 'president', 'top', 'cut', 'taxes']",different,False
audio58.wav,351.584,352.425,SPEAKER_02,That's not what I'm going to do.,0.08613147,-0.06,0.16,0.29,"[{'Emotion': 'anger', 'Score': '98.0%'}, {'Emotion': 'disgust', 'Score': '0.0%'}, {'Emotion': 'fear', 'Score': '0.7%'}, {'Emotion': 'happiness', 'Score': '0.6%'}, {'Emotion': 'sadness', 'Score': '0.7%'}]",anger,[],[],False
